       DT     JJ     NN     MD     RB     VB     VBN    -NONE- IN     NNS    NNP    .      VBD    WRB    PRP    $      CD     ``     ''     :      ,      JJR    RBR    VBG    CC     TO     -LRB-  -RRB-  VBZ    VBP    NNPS   POS    PRP$   WP     WDT    RP     WP$    EX     RBS    JJS    FW     PDT    UH     SYM   
DT     1032   0      2      0      0      0      0      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
JJ     2      323    436    0      13     1      8      0      2      0      2      0      0      0      0      0      0      0      0      0      0      0      0      1      1      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
NN     0      12     1535   1      1      31     1      0      0      2      4      0      0      0      0      0      1      0      0      0      0      0      0      3      0      0      0      0      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
MD     0      0      4      84     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
RB     3      5      73     0      228    1      0      0      11     0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      1      0      0      0      0      0      0      0      0      0      0      3      0      0      0      0      0      0      0      0     
VB     0      2      130    0      0      143    2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      31     0      0      0      0      0      0      0      0      0      0      0      0      0      0     
VBN    0      0      132    0      0      1      82     0      0      0      0      0      23     0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
-NONE- 0      0      83     0      0      0      0      744    0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
IN     1      2      16     0      12     0      0      0      1169   0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0      0      0      0      0      0      0      39     3      0      0      0      0      0      0      0      0     
NNS    0      0      481    0      0      0      0      0      0      244    0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0     
NNP    0      7      714    0      0      0      0      0      0      0      496    0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0     
.      0      0      0      0      0      0      0      0      0      0      0      497    0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     
